Provider CCN,lat,lng
673055,33.0314924,-96.8539458
100069,28.0134607,-82.5041225
371311,38.8009592,-90.8263643
400102,18.3608477,-66.1593732
400125,18.3367312,-65.654852
400132,18.4259898,-66.491994
491304,37.7788688,-79.4412043
51321,38.627093,-122.8643251
400021,57.053,-135.33
113033,32.0081941,-81.0945601
443035,35.9194608,-86.8183582
501305,47.6571877,-118.1462691
104073,30.1827215,-85.6595018
400007,18.1545099,-65.81973
400118,57.053,-135.33
462006,40.6784648,-111.8928466
100296,25.7242656,-80.27412
243303,44.9590841,-93.2104393
371312,35.9931095,-96.1009026
400079,57.053,-135.33
400111,18.3955528,-67.1170037
430081,43.0239307,-102.5416744
351328,46.271316,-100.2334718
100181,25.7055783,-80.2931189
143302,41.9198805,-87.7949334
223303,42.1213893,-72.5922932
223304,42.3630268,-71.0665836
341322,35.241629,-82.214564
400019,18.4425252,-66.0639276
400087,57.053,-135.33
400110,57.053,-135.33
61325,40.0470026,-107.8822968
